Works,Created
Prentice Hall Literature - World Masterpieces,2019-02-07T04:50:34.011613
"Prentice Hall Literature - Timeless Voices, Timeless Themes - World Literature",2021-06-02T11:33:00.673451
Twaalf zwerfverhalen,2022-02-02T04:44:29.129842
Shi shang zui mei de ni shui zhe,2022-01-29T21:44:03.713803
The Story-makers,2018-12-27T05:40:10.542412
"The Bedford Introduction to Literature - Reading, Thinking, Writing - Sixth Edition",2022-01-18T11:59:46.698026
One Hundred Years of Solitude Slipcased Edition,2021-12-27T05:20:33.132886
El Coronel No Tiene Quien Le Escriba Lib/E,2021-10-19T18:21:26.584186
Memories of My Melancholy Whores,2021-09-13T06:05:27.578167
Love in the Time of Cholera,2021-09-09T10:09:35.841403
News of a Kidnapping,2021-09-13T06:05:29.495356
Autumn of the Patriarch,2021-10-06T12:11:00.193771
Cem Anos De Solidão,2021-11-13T22:03:43.907305
Cuentos,2021-09-29T00:38:51.739528
Scandal of the Century,2021-11-03T03:12:24.067295
Clave,2021-09-18T01:48:56.602502
El escándalo del siglo,2018-09-11T12:32:08.189983
Chronicle of a Death Foretold,2021-10-27T19:17:31.803593
Noticia de un secuestro,2021-10-06T07:57:39.095358
DIATRIBA DE AMOR CONTRA UN HOMBRE SENTADO,2021-10-03T23:19:20.694047
Living to Tell the Tale,2021-09-13T06:05:32.925349
DE EUROPA Y AMÉRICA,2021-10-03T23:17:00.668513
Relato de un náufrago,2021-11-05T23:26:00.540132
Crónica de una muerte anunciada,2021-11-05T20:32:47.603943
In Evil Hour,2021-09-13T06:05:30.177059
La plaza del diamante,2018-07-25T09:52:40.032798
Nouvelles hispano-américaines - tome 2,2021-10-09T06:31:55.757280
Cronaca di una morte annunciata,2021-09-14T23:49:33.959056
Del amor y otros demonios,2021-11-05T19:10:46.413264
Diccionario Clave : diccionario de uso del español actual,2021-09-16T14:49:37.634100
La hojarasca,2021-11-06T00:34:42.115645
Gabriel García Márquez,2021-09-11T12:04:15.681594
No One Writes to the Colonel,2021-10-06T12:11:00.930639
Leaf Storm,2021-09-13T06:05:32.283507
Pedro Paramo,2021-10-06T10:53:13.878846
Memoria de mis putas tristes,2021-10-10T03:45:36.564476
100 Years of Solitude,2021-09-14T17:20:03.713790
OJOS DE PERRO AZUL,2021-10-03T23:14:50.978760
Prentice Hall - Literature - Gold,2009-12-10T22:14:42.911167
Dos soledades,2021-09-30T18:41:05.024299
Palai͡a listva,2021-12-23T23:23:53.192076
El coronel no tiene quien le escriba,2021-05-18T17:10:07.400259
Dogu Avrupa'da Yolculuk,2021-11-01T01:53:48.239097
Silide Gizlice,2021-11-03T06:53:22.619130
On İki Gezici Öykü,2021-11-04T14:40:55.243181
World Literature,2010-03-16T23:18:07.853333
Benim Hüzünlü Orospularım,2021-11-08T07:58:15.291555
Aşk ve Öbür Cinler,2021-11-04T14:40:57.097032
Kirmizi Pazartesi,2021-04-13T09:15:52.294634
Labirentindeki General,2021-11-04T14:40:14.977285
